ID,Latitude,Longtitude,Build_Date,Area,Households,Floors,Min_price,Max_price,Avg_price,Score
2766,37.68160372,127.0565917,2000-6,139,492,42,60100,62000,61000,4.3
5860,37.6792898,127.0570207,2001-5,105,468,32,48600,52200,51000,4.1
15564,37.67688187,127.0580753,2005-2,86,57,26,36000,46000,40500,4.8
3700,37.67527716,127.0600011,1995-9,102,216,31,34000,34800,34500,4.8
6204,37.67638079,127.0583606,2003-6,91,165,28,27900,50300,40000,4.8
3697,37.67735438,127.0572686,2000-4,84,299,25,29200,39000,34500,4.4
19203,37.67659042,127.0571138,2009-5,126,45,38,36500,64600,63000,4
3699,37.67383553,127.0601315,1997-4,84,290,25,24300,40400,31000,3.9
948,37.68109689,127.0537572,1998-11,54,1391,16,17100,26600,23500,4
15206,37.67996178,127.053507,1998-10,53,1313,16,15800,26000,22500,4
19851,37.6860596,127.053443,2009-11,79,548,24,36900,41200,40000,3.8
10023,37.67461549,127.0570851,2004-11,90,100,27,34000,46800,44500,4.5
19850,37.68747591,127.0535532,2009-11,110,696,33,38700,40200,39500,3.6
3702,37.67298548,127.0592013,1995-10,102,397,31,30700,31100,31000,4.1
6705,37.67458711,127.0561375,2004-11,103,175,31,42500,45000,43000,4.8
2808,37.67738514,127.0531469,1994-10,59,763,18,13800,41500,30000,3.7
19849,37.69001654,127.0538271,2009-8,75,473,23,24100,39100,28500,4.4
21230,37.68437059,127.0507213,2002-12,109,139,33,33500,34400,34000,3.4
19848,37.68969289,127.0522714,2009-8,78,680,24,24300,40900,29500,4
3701,37.67197755,127.0568201,2000-6,76,274,23,33400,41500,38500,4
22483,37.6761026,127.0521167,2004-2,48,30,15,10500,25900,21000,4
13915,37.67701829,127.0514644,2002-5,76,95,23,24600,24900,24500,3.7
118,37.68252225,127.0496181,1991-12,101,205,31,27800,28100,28000,3.8
10246,37.68327911,127.0495279,2005-6,106,147,32,31400,31400,31500,3.6
14961,37.67117728,127.0572321,1997-11,97,34,29,35100,38000,36500,0
932,37.6820521,127.049177,1990-11,104,286,31,27400,27400,27500,4.5
5404,37.67812903,127.0497512,1999-9,84,159,25,28100,28500,28000,4.4
577,37.68105939,127.0488462,1987-10,97,660,29,23400,26500,24500,3.9
1021,37.6696098,127.05856,1989-4,58,2265,18,13600,39100,19000,3.8
2763,37.67195965,127.0812493,2006-6,85,240,26,19400,24400,21500,3.8
26666,37.6744955,127.0515579,1999-1,91,37,28,17500,47500,27000,0
2806,37.66740214,127.0675208,1995-6,84,385,25,22000,33000,30500,4.1
2804,37.67289123,127.0527628,1993-4,102,331,31,28700,28700,28500,4.1
6054,37.6748187,127.050927,2002-7,81,230,25,25300,56200,32000,4.1
4366,37.66728607,127.0688173,1995-5,102,230,31,34500,35200,34500,4
9948,37.687633,127.0486601,2002-12,106,200,32,32800,33900,33500,4.7
2840,37.66737208,127.0632409,1989-4,58,939,18,13600,21200,17500,3.8
2762,37.67443471,127.0504651,1996-2,74,105,22,20000,36900,25000,3.4
1437,37.67163697,127.052966,1999-4,102,494,31,33300,34200,34000,3.7
1284,37.6866928,127.047548,1995-9,95,2678,29,26700,31700,31000,3.9
7543,37.68472527,127.0471209,2004-10,100,141,30,30000,33800,33500,3.7
58188,37.6686747,127.0781537,2003-11,74,87,22,27200,32400,30000,0
6012,37.68151787,127.0469012,2003-3,113,526,34,33000,52100,40000,4.3
6702,37.67224298,127.0517196,1996-10,79,142,24,26400,29600,28000,4.3
5536,37.66629212,127.0675379,1990-5,83,348,25,24300,26100,25500,4.1
1445,37.67310837,127.0507045,1995-7,102,106,31,24000,24000,24000,5
2892,37.66608244,127.0686666,1987-3,63,420,19,17000,37200,22500,4.3
9155,37.67962237,127.0465237,2005-2,79,448,24,33000,40700,37000,3.8
3734,37.67626306,127.0476642,1998-12,81,190,25,18900,44500,28000,3.4
12106,37.6713926,127.0513971,2002-7,105,117,32,28400,28400,28500,4.3
2805,37.67227599,127.0504093,1993-12,85,465,26,29900,30600,30000,3.7
12370,37.66776924,127.0798574,2002-1,92,42,28,25000,35000,25500,3.5
20215,37.6745512,127.0476767,2010-12,108,80,33,28400,34900,30000,4.5
2811,37.6661668,127.0593183,1988-10,58,1739,18,15200,34200,21000,3.9
5535,37.66477818,127.0680443,1988-5,64,471,19,15400,24600,20000,3.6
2946,37.67343742,127.0480841,1996-10,56,2450,17,15100,18600,17500,3.7
2841,37.66915781,127.0525568,1988-9,63,2392,19,15900,37400,21500,3.9
2803,37.66695847,127.0796888,1999-11,83,673,25,25400,50600,34000,3.7
1388,37.6678293,127.0816166,1999-12,81,826,25,22400,53400,33500,3.5
38231,37.66514587,127.0747833,2020-1,64,810,19,36000,84000,46000,0
5534,37.6643673,127.064908,1988-6,45,3315,14,15400,34100,25500,4
10455,37.66590978,127.0796152,2001-6,106,234,32,36000,36000,36000,4.6
50365,37.6639767,127.062301,2020-11,67,1062,20,45000,95000,66500,0
2810,37.66582974,127.0558226,1988-9,58,1944,18,15200,35300,23500,3.9
80468,37.664792,127.077739,2023-6,0,1163,0,NaN,NaN,NaN,0
2765,37.66341186,127.0747163,1989-8,81,675,25,25200,34500,29000,3.8
2875,37.663338,127.060499,1988-10,58,2830,18,15100,33100,22000,3.8
2809,37.6639118,127.057042,1988-9,52,2654,16,15400,28600,21000,4
3698,37.66344618,127.0773956,2000-3,84,634,25,26400,41600,35000,3.8
10454,37.66311744,127.078574,2001-6,70,602,21,20200,25800,22500,4.1
2768,37.66168656,127.0731642,1989-5,52,1590,16,11900,32300,20500,3.5
6118,37.66214571,127.0765466,2002-12,82,299,25,33000,62400,46000,4.2
2941,37.66125635,127.0752899,1995-7,79,167,24,20500,40800,36500,4.2
13922,37.66143963,127.0761106,1998-7,79,120,24,22100,44800,30000,4.3
6013,37.66694346,127.0473363,2002-10,122,603,37,47600,53300,50500,4.5
5692,37.6650763,127.0481467,2001-10,80,1278,24,35200,79800,48000,4.5
2089,37.70239115,127.0482796,1999-1,78,146,24,19300,30500,23000,3.9
7531,37.70300739,127.048339,1998-11,79,281,24,17900,38600,23000,4.4
7530,37.70403781,127.0490428,2003-11,98,700,30,23500,45800,36500,4.2
81826,37.7042123,127.04757,2017-1,23,176,7,8200,13200,8300,0
69197,37.6625134,127.04596,2008-1,73,33,22,19500,25500,23000,0
